Streaming output truncated to the last 5000 lines.
episode 1265 frame 640064 score 400.0 curiosity 0.09599148482084274
episode 1266 frame 640656 score 200.0 curiosity 0.21792400535196066
episode 1267 frame 641309 score 1000.0 curiosity 0.47060446441173553
episode 1268 frame 641969 score 800.0 curiosity 0.4007488265633583
episode 1269 frame 642513 score 600.0 curiosity 0.18947480618953705
episode 1270 frame 643194 score 600.0 curiosity 0.2501459829509258
episode 1271 frame 643909 score 1200.0 curiosity 0.513908751308918
episode 1272 frame 644516 score 600.0 curiosity 0.3364001363515854
episode 1273 frame 645141 score 600.0 curiosity 0.46516264975070953
episode 1274 frame 645691 score 400.0 curiosity 0.40876270830631256
episode 1275 frame 646294 score 600.0 curiosity 0.22127855228609405
episode 1276 frame 646943 score 800.0 curiosity 0.24844295345246792
episode 1277 frame 647688 score 1200.0 curiosity 0.6204856038093567
episode 1278 frame 648329 score 400.0 curiosity 0.2719798609614372
episode 1279 frame 648931 score 200.0 curiosity 0.3408694267272949
episode 1280 frame 649585 score 1200.0 curiosity 0.3172111362218857
episode 1281 frame 650136 score 400.0 curiosity 0.2995259091258049
episode 1282 frame 650725 score 0.0 curiosity 0.4198172837495804
episode 1283 frame 651183 score 200.0 curiosity 0.2199106588959694
episode 1284 frame 651864 score 800.0 curiosity 0.31900541856884956
episode 1285 frame 652353 score 600.0 curiosity 0.34179213643074036
episode 1286 frame 653066 score 600.0 curiosity 0.2869860604405403
episode 1287 frame 653445 score 200.0 curiosity 0.08613625913858414
episode 1288 frame 654190 score 1000.0 curiosity 0.6892461776733398
episode 1289 frame 654860 score 1200.0 curiosity 0.4843914955854416
episode 1290 frame 655435 score 400.0 curiosity 0.2028744723647833
episode 1291 frame 656098 score 600.0 curiosity 0.3734595626592636
episode 1292 frame 656877 score 1200.0 curiosity 0.8134642839431763
episode 1293 frame 657585 score 800.0 curiosity 0.4473782777786255
episode 1294 frame 658383 score 1200.0 curiosity 0.5192244201898575
episode 1295 frame 658977 score 1000.0 curiosity 0.3533129561692476
episode 1296 frame 659668 score 800.0 curiosity 0.28762029111385345
episode 1297 frame 660369 score 1200.0 curiosity 0.5115727707743645
episode 1298 frame 661115 score 1200.0 curiosity 0.597571462392807
episode 1299 frame 661692 score 600.0 curiosity 0.21791528537869453
episode 1300 frame 662463 score 800.0 curiosity 0.5757962763309479
episode 1301 frame 663278 score 1200.0 curiosity 0.4496980691328645
episode 1302 frame 663985 score 800.0 curiosity 0.30325180292129517
episode 1303 frame 664707 score 800.0 curiosity 0.39070436730980873
episode 1304 frame 665425 score 1200.0 curiosity 0.39417564868927
episode 1305 frame 666131 score 1200.0 curiosity 0.3563788812607527
episode 1306 frame 666666 score 600.0 curiosity 0.18707924336194992
episode 1307 frame 667226 score 800.0 curiosity 0.2441611886024475
episode 1308 frame 668030 score 1400.0 curiosity 0.5504780113697052
episode 1309 frame 668594 score 400.0 curiosity 0.4215422123670578
episode 1310 frame 669251 score 800.0 curiosity 0.30226748436689377
episode 1311 frame 669900 score 1200.0 curiosity 0.33125197142362595
episode 1312 frame 670372 score 400.0 curiosity 0.1941826194524765
episode 1313 frame 671076 score 600.0 curiosity 0.6107328832149506
episode 1314 frame 671816 score 1000.0 curiosity 0.21520884991332423
episode 1315 frame 672585 score 1200.0 curiosity 0.5088973492383957
episode 1316 frame 673196 score 600.0 curiosity 0.20966266840696335
episode 1317 frame 674177 score 1800.0 curiosity 0.8738897442817688
episode 1318 frame 674795 score 400.0 curiosity 0.3586759641766548
episode 1319 frame 675373 score 600.0 curiosity 0.2996750548481941
episode 1320 frame 676037 score 800.0 curiosity 0.3690288388170302
episode 1321 frame 676689 score 800.0 curiosity 0.45085931941866875
episode 1322 frame 677368 score 1200.0 curiosity 0.5455577224493027
episode 1323 frame 677819 score 600.0 curiosity 0.2774640582501888
episode 1324 frame 678515 score 600.0 curiosity 0.36872677505016327
episode 1325 frame 678991 score 200.0 curiosity 0.18012097291648388
episode 1326 frame 679565 score 400.0 curiosity 0.17702392488718033
episode 1327 frame 680293 score 1000.0 curiosity 0.580682709813118
episode 1328 frame 680655 score 0.0 curiosity 0.12768900394439697
episode 1329 frame 681608 score 1800.0 curiosity 0.7625456750392914
episode 1330 frame 682157 score 400.0 curiosity 0.30645194090902805
episode 1331 frame 682772 score 800.0 curiosity 0.24710916727781296
episode 1332 frame 683454 score 800.0 curiosity 0.2576232999563217
episode 1333 frame 683972 score 800.0 curiosity 0.22763443738222122
episode 1334 frame 684443 score 400.0 curiosity 0.13798923045396805
episode 1335 frame 685135 score 1200.0 curiosity 0.4545633792877197
episode 1336 frame 685955 score 1600.0 curiosity 0.5157307796180248
episode 1337 frame 686837 score 1200.0 curiosity 0.6159601174294949
episode 1338 frame 687641 score 1600.0 curiosity 0.6136183217167854
episode 1339 frame 688136 score 1000.0 curiosity 0.3684385269880295
episode 1340 frame 688861 score 1600.0 curiosity 0.5549126267433167
episode 1341 frame 689219 score 0.0 curiosity 0.13403432071208954
episode 1342 frame 689682 score 200.0 curiosity 0.17635755613446236
episode 1343 frame 690456 score 1400.0 curiosity 0.5875356495380402
episode 1344 frame 691143 score 600.0 curiosity 0.5521403104066849
episode 1345 frame 691718 score 200.0 curiosity 0.34307265281677246
episode 1346 frame 692530 score 1200.0 curiosity 0.5365301892161369
episode 1347 frame 693115 score 600.0 curiosity 0.33058223873376846
episode 1348 frame 693771 score 800.0 curiosity 0.7146160453557968
episode 1349 frame 694549 score 2000.0 curiosity 0.5422758162021637
episode 1350 frame 695640 score 2600.0 curiosity 0.8655765056610107
episode 1351 frame 696441 score 1600.0 curiosity 0.577815592288971
episode 1352 frame 696800 score 0.0 curiosity 0.1610298901796341
episode 1353 frame 697394 score 600.0 curiosity 0.20933732949197292
episode 1354 frame 698672 score 3000.0 curiosity 1.002286657691002
episode 1355 frame 699224 score 400.0 curiosity 0.2228352278470993
episode 1356 frame 699861 score 1000.0 curiosity 0.4268101155757904
